264183816548130816	positive
264249301910310912	negative
264105751826538497	positive
264094586689953794	negative
254941790757601280	negative
264169034155696130	neutral
263192091700654080	neutral
260200142420992000	neutral
263304719471087617	neutral
263975113404342273	neutral
257343699460173824	positive
257239661976625152	neutral
264041764460036096	positive
264239636799430656	neutral
236665189502681089	neutral
262384414623936512	neutral
249228128302551040	neutral
263970913270251520	positive
264162997088436224	positive
263800856321859584	negative
264011728084410369	neutral
264120483384008704	neutral
264056733691961345	neutral
263656013541027840	neutral
165044172858986496	negative
264230416897159168	positive
263809311086628864	positive
264253780797825026	neutral
256237809147445248	neutral
264198711113039872	positive
264215390773727232	neutral
245461530206932992	positive
263391524769898496	neutral
260248287255343104	positive
256416307182985217	positive
259452211883569152	neutral
263732569508552704	positive
264222052129574912	positive
213342054351257601	negative
264135339327766529	neutral
263079812954992640	neutral
264088457490604032	negative
263132960507703296	neutral
259022549604790273	neutral
253050608322502657	neutral
263919760503361536	positive
264203403473850368	neutral
256787668367704066	positive
263865575313383424	neutral
259224351478521856	neutral
246760239221858306	positive
264084352340742145	positive
263319006063259649	neutral
263799123847806976	neutral
264183514176552961	neutral
262575945741914113	positive
263921038352580608	neutral
263748118091276288	neutral
257369508086423553	positive
261434845773828096	negative
252798281413967872	neutral
264138191030874112	neutral
263864248952836096	neutral
263972222677417985	positive
263867263474597888	negative
261642731477168128	positive
246320271248744448	positive
255690502970671104	neutral
261632295520333826	neutral
261184553337630720	positive
226474708487532546	neutral
247183266782789632	positive
251742524601925633	negative
261706811453886464	neutral
258989036205662208	neutral
264084748345962496	neutral
263794433596723200	positive
237571817550786563	neutral
252330752665075712	positive
262903244886507521	neutral
264240983032614912	neutral
254032799680589826	positive
264143294903246848	negative
263247166582173696	negative
226238092191875072	negative
258887925075410944	positive
263530816162902016	positive
246588959247974401	neutral
263753326422806528	neutral
257865075933728771	positive
262380235985657856	neutral
263740861031010304	neutral
264226988879933440	positive
254600864868749313	positive
264161130585399297	negative
263953741877764096	neutral
204001339599106048	neutral
263976883354480640	neutral
256395784038277120	neutral
261769579544584192	positive
264167430564237312	negative
262627821908815872	negative
258836119532228608	neutral
241225651074527232	neutral
263362769011748864	positive
223045564571459584	positive
263704789186117635	positive
262778055402090496	neutral
260949777687117824	neutral
245532165637545985	negative
264060311764619264	neutral
